number,question,fiduciaryTopic,abbreviation,level,phase,planType,complianceEssentials,compliancePlus,complianceFull
239,What is your process for terminating fraudulent pharmacy relationships?,Fraud Prevention,FP,2,RFP,Both,FALSE,TRUE,TRUE
240,How do you educate members about prescription drug fraud?,Fraud Prevention,FP,2,RFP,Both,FALSE,TRUE,TRUE
241,Do you provide fraud trend reporting to clients?,Fraud Prevention,FP,2,RFI,Both,FALSE,TRUE,TRUE
242,What performance guarantees do you offer to clients?,Implementation & Operations,IO,1,RFI,Both,TRUE,TRUE,TRUE
243,What employer KPIs do you track and report?,Implementation & Operations,IO,1,RFI,Both,TRUE,TRUE,TRUE
244,What is your typical implementation timeline for new clients?,Implementation & Operations,IO,1,RFI,Both,FALSE,TRUE,TRUE
245,What implementation services do you provide?,Implementation & Operations,IO,1,RFI,Both,FALSE,TRUE,TRUE
246,What project management methodology do you use for implementations?,Implementation & Operations,IO,1,RFI,Both,FALSE,TRUE,TRUE
247,What training do you provide to client staff during implementation?,Implementation & Operations,IO,1,RFI,Both,FALSE,TRUE,TRUE
248,What tools do you provide for plan sponsor self-service?,Implementation & Operations,IO,1,RFI,Both,FALSE,TRUE,TRUE
249,What value-added services do you offer beyond basic PBM administration?,Implementation & Operations,IO,1,RFI,Both,FALSE,TRUE,TRUE
250,Can you provide a sample contract with detailed pricing terms?,Implementation & Operations,IO,2,RFI,Both,FALSE,TRUE,TRUE
251,How do you ensure that pricing and contract terms remain competitive over time?,Implementation & Operations,IO,2,RFP,Both,FALSE,TRUE,TRUE
252,Can clients customize their PBM contract based on their specific needs?,Implementation & Operations,IO,2,RFI,Both,FALSE,TRUE,TRUE
253,How do you support plan design optimization?,Implementation & Operations,IO,2,RFP,Both,FALSE,TRUE,TRUE
254,How do you handle benefit plan changes mid-year?,Implementation & Operations,IO,2,RFP,Both,FALSE,TRUE,TRUE
255,How do you support clients during renewal periods?,Implementation & Operations,IO,2,RFP,Both,FALSE,TRUE,TRUE
256,Do you offer consulting services for pharmacy benefit optimization?,Implementation & Operations,IO,2,RFI,Both,FALSE,TRUE,TRUE
257,How do you handle implementation delays or issues?,Implementation & Operations,IO,2,RFI,Both,FALSE,TRUE,TRUE
258,What change management support do you provide?,Implementation & Operations,IO,2,RFI,Both,FALSE,TRUE,TRUE
259,What is your process for data migration and validation?,Implementation & Operations,IO,2,RFP,Both,FALSE,TRUE,TRUE
260,How do you ensure business continuity during implementation?,Implementation & Operations,IO,2,RFP,Both,FALSE,TRUE,TRUE
261,Do you provide actuarial support for plan design?,Implementation & Operations,IO,3,RFI,Both,FALSE,FALSE,TRUE
262,What are your network adequacy standards?,Network & Access,NA,1,RFI,Both,TRUE,TRUE,TRUE
263,How many pharmacies are in your retail network?,Network & Access,NA,1,RFI,Both,FALSE,TRUE,TRUE
264,What percentage of prescriptions are filled through mail-order pharmacy?,Network & Access,NA,1,RFI,Both,FALSE,TRUE,TRUE
265,Do you provide 24/7 emergency prescription access?,Network & Access,NA,1,RFI,Both,FALSE,TRUE,TRUE
266,What pharmacy credentialing standards do you require?,Network & Access,NA,1,RFI,Both,FALSE,TRUE,TRUE
267,Do you allow clients to customize their specialty pharmacy network?,Network & Access,NA,2,RFI,Both,FALSE,TRUE,TRUE
268,Do you require members to use a single specialty pharmacy or multiple partners?,Network & Access,NA,2,RFI,Both,FALSE,TRUE,TRUE
269,What percentage of your network pharmacies are independent vs. chain?,Network & Access,NA,2,RFI,Both,FALSE,TRUE,TRUE
270,How do you ensure adequate geographic coverage for rural areas?,Network & Access,NA,2,RFP,Both,FALSE,TRUE,TRUE
271,How do you monitor pharmacy performance and quality?,Network & Access,NA,2,RFP,Both,FALSE,TRUE,TRUE
272,What is your process for adding or removing pharmacies from the network?,Network & Access,NA,2,RFP,Both,FALSE,TRUE,TRUE
273,How do you negotiate pharmacy reimbursement rates?,Network & Access,NA,2,RFP,Both,FALSE,TRUE,TRUE
274,How do you coordinate care between retail and mail-order pharmacies?,Network & Access,NA,2,RFP,Both,FALSE,TRUE,TRUE
275,Do you offer 90-day retail pharmacy programs?,Network & Access,NA,2,RFI,Both,FALSE,TRUE,TRUE
276,What is your approach to pharmacy network optimization?,Network & Access,NA,2,RFP,Both,FALSE,TRUE,TRUE
277,How do you handle network disruptions or pharmacy closures?,Network & Access,NA,2,RFI,Both,FALSE,TRUE,TRUE
278,What is your process for network adequacy monitoring and reporting?,Network & Access,NA,2,RFP,Both,FALSE,TRUE,TRUE
279,How do you manage pharmacy DIR fees and their impact on clients?,Network & Access,NA,3,RFP,Both,FALSE,FALSE,TRUE
